category,confidence,reasoning,txn_id,description
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-5852,Partial refund - catering shortfall Q3 offsite event
Travel & Transport,0.55,Description references travel or transport (train).,TXN-5854,NVIDIA RTX 4090 - ML training workstation single build
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-5855,Zoom Workplace Pro annual renewal - 500 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-5856,S3 Glacier archival fees - compliance data retention 7yr policy
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-5857,Cloudflare Enterprise DDoS annual - production CDN
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5858,Monday.com Standard annual - project management 50 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5859,Hugging Face Enterprise Hub annual - model hosting
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5860,Personal Myntra purchase - clothing item non-business
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-5861,HubSpot Marketing Hub Professional annual subscription
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5862,ServiceNow ITSM Professional annual - 500 user tier
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-5863,Zendesk Suite Professional annual - 40 agent seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,PROC-05864,Udemy Business annual license - 100 seat L&D platform
Travel & Transport,0.84,"Description references travel or transport (flight, indigo).",TXN-5865,Vendor credit - flight cancellation refund IndiGo BLR-DEL
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-5866,Dell XPS 15 - data scientist laptop 3 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5867,Route53 DNS annual - 45 hosted zones enterprise account
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-5868,Salesforce Sales Cloud Enterprise annual - 50 seats
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-5869,Personal Amazon Prime annual renewal - home account
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-5870,Gym membership personal - Cult.fit annual plan
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-5871,Udemy Business annual license - 100 seat L&D platform
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-5872,Airport cab drop - personal vacation travel to Goa non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5873,PR agency retainer - media relations Q1
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-5874,Cloudflare Enterprise DDoS annual - production CDN
Meals & Catering,0.84,"Description references food/catering context (lunch, catering).",TXN-5875,Board meeting catering - 10 directors working lunch
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-5876,Personal Amazon Prime annual renewal - home account
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-5877,Personal Amazon Prime annual renewal - home account
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5879,Legal retainer - shareholder agreement and term sheet review
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-5880,Team lunch - product sprint retrospective 15 pax
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-5881,Partner summit dinner - 45 external attendees gala dinner
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5882,ServiceNow ITSM Professional annual - 500 user tier
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5884,Coursera for Business annual - 50 seat upskilling program
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-5885,FEMA compliance advisory - cross-border forex transactions
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-5886,Cloudflare Enterprise DDoS annual - production CDN
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-5887,Flight DEL-NRT for Tokyo strategic partnership meeting - 2 pax
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5888,Calendly Teams annual - scheduling 30 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5889,SEO agency retainer - 6 months content and technical
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5890,ESOP valuation report - grant price board approval
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (renewal).,TXN-5891,Health insurance group policy annual premium renewal
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-5892,GCP BigQuery on-demand - analytics team query charges
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-5893,GCP BigQuery on-demand - analytics team query charges
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5894,Ride to client site - Bhubaneswar HQ quarterly review meeting
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5895,Pinecone vector DB enterprise annual - RAG production workload
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5896,MacBook Air M2 - PM and design team batch 8 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5897,ERP module annual maintenance - finance and procurement
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-5899,Adobe Creative Cloud All Apps annual - 20 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5900,Okta Workflows add-on annual - automation tier
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-5901,Airport cab drop - personal vacation travel to Goa non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5902,Content marketing agency quarterly retainer - Q2
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-5903,New joiner batch onboarding lunch - 30 people
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-5904,Miro Team annual - whiteboarding 45 seats
Travel & Transport,0.55,Description references travel or transport (train).,TXN-5906,NVIDIA RTX 4090 - ML training workstation single build
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5909,Personal Swiggy order - home delivery non-business expense
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,INV-05910,Standing desk Flexispot E7 - 5 units health initiative
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-5911,Miro Team annual - whiteboarding 45 seats
Travel & Transport,0.55,Description references travel or transport (train).,TXN-5912,Radisson Blu Hyderabad - 6 nights team training programme
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-5913,Investor roadshow dinner - 6 guests fine dining
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (ec2).,TXN-5914,EC2 reserved instance commitment - 1yr term prod fleet upgrade
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5915,Payout API bulk disbursement processing fee - April 2026 cycle
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5916,Intercom Business annual - customer messaging 10 seats
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5917,Power BI Premium annual - analytics platform BI team
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-5918,Team lunch - product sprint retrospective 15 pax
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-5920,Investor roadshow dinner - 6 guests fine dining
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (ec2).,TXN-5922,EC2 reserved instance commitment - 1yr term prod fleet upgrade
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",CLM-05923,Personal Amazon Prime annual renewal - home account
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-5924,Ride to airport BLR T2 - early morning investor meeting
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",PROC-05925,Gym membership personal - Cult.fit annual plan
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-5926,Refund - subscription downgrade credit Slack Business to Pro
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-5927,Azure DevOps pipeline minutes - CI/CD build farm overrun
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-5928,Figma Organization plan annual - design team 40 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5929,Anthropic API credits - Claude Sonnet production batch
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-5931,Atlassian Cloud bundle - Jira Software + JSM 500 users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5932,LinkedIn Campaign Manager - B2B lead gen Q2
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-5933,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5934,Personal Swiggy order - home delivery non-business expense
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-5935,Creative Cloud team subscription - invoice pending CFO approval
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",CLM-05936,Creative Cloud team subscription - invoice pending CFO approval
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5937,Trademark registration - 5 classes brand protection
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-5938,Refund - subscription downgrade credit Slack Business to Pro
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-5939,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5940,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,REF-05941,AWS Solutions Architect external training - batch 12 engineers
Travel & Transport,0.84,"Description references travel or transport (flight, boarding).",TXN-5942,Flight CCU-BOM for Mumbai client onboarding visit
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-5943,Azure Blob storage - backup and DR repository monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5945,Office pantry restocking monthly - beverages snacks 200 staff
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5946,1Password Teams annual - 80 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-5948,Azure Blob storage - backup and DR repository monthly
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-5949,HRMS annual subscription - employee self-service 800 users
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-5950,Tableau Creator Cloud annual - analytics team 12 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-5953,Adobe Creative Cloud All Apps annual - 20 seats
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5954,Power BI Premium annual - analytics platform BI team
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5955,ServiceNow ITSM Professional annual - 500 user tier
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-5956,Azure DevOps pipeline minutes - CI/CD build farm overrun
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5957,Twitter/X Ads - product launch announcement campaign
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-5958,Splunk Cloud annual - SIEM 20GB per day ingest
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-5959,Bulk flight bookings annual sales kickoff - 30 tickets DEL-BLR
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-5961,Personal Netflix subscription - accidentally on corporate card
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5963,Loom Business annual - async video 60 seats
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-5965,Cloudflare Enterprise DDoS annual - production CDN
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-5966,Airport cab drop - personal vacation travel to Goa non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5967,JW Marriott Bengaluru - 2 nights leadership offsite Q2
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-5968,Adobe Sign enterprise annual - 500 transaction pack
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-5969,Cloudflare Teams Zero Trust annual - 500 user pack
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5970,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5971,Amazon DSP advertising - festive season October
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5972,DocuSign Business Pro annual - 500 envelope pack
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5973,DocuSign Enterprise annual - unlimited envelopes 100 senders
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-5974,Airport cab drop - personal vacation travel to Goa non-business
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-5975,Freshdesk Growth annual - support platform 25 agents
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5977,Calendly Teams annual - scheduling 30 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5978,PR agency retainer - media relations Q1
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5979,CA firm statutory audit fees - FY2025-26
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5980,Okta Workflows add-on annual - automation tier
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5982,New Relic Full Platform annual - 100GB data ingest
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-5983,Bulk flight bookings Q3 annual offsite - 40 tickets BOM-GOI
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-5984,GCP BigQuery on-demand - analytics team query charges
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,EXP-05985,Salesforce Service Cloud annual - 80 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5987,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5988,Pinecone vector DB enterprise annual - RAG production workload
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5989,PR agency retainer - media relations Q1
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-5990,Conrad Bengaluru - 3 nights executive team stay
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-5991,Zendesk Suite Professional annual - 40 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5992,
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-5994,Adobe Creative Cloud All Apps annual - 20 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-5996,S3 storage costs - analytics data lake monthly billing
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",CLM-05997,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-5998,Hugging Face Enterprise Hub annual - model hosting
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-5999,Asana Business annual - work management 75 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-6001,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Travel & Transport,0.55,Description references travel or transport (train).,TXN-6002,Radisson Blu Hyderabad - 6 nights team training programme
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-6003,Airport cab drop - personal vacation travel to Goa non-business
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6004,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6005,CA firm statutory audit fees - FY2025-26
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-6006,Figma Organization plan annual - design team 40 seats
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-6007,Catering for Q1 product roadmap planning workshop - 120 pax
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-6008,New joiner batch onboarding lunch - 30 people
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-6009,Sales kickoff catering day 2 - 85 team members
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-6010,FEMA compliance advisory - cross-border forex transactions
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-6011,Payment gateway monthly transaction processing fees - June cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6012,Taj Lands End Mumbai - 2 nights partner event accommodation
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (server).,TXN-6013,Tableau Desktop + Server annual - 15 creator seats
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-6014,Miro Team annual - whiteboarding 45 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-6015,Figma Enterprise plan annual - 80 cross-functional seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6016,
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6018,MacBook Air M2 - PM and design team batch 8 units
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6020,Cloudflare Teams Zero Trust annual - 500 user pack
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-6021,Cloudflare Enterprise DDoS annual - production CDN
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6023,Salesforce Service Cloud annual - 80 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6024,Payout API bulk disbursement processing fee - April 2026 cycle
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-6025,Airport cab drop - personal vacation travel to Goa non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6026,Background verification bulk - SpringVerify 50 new hires
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-6028,Sales kickoff catering day 1 - 85 team members
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6029,PR agency retainer - media relations Q1
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PMT-06031,Looker Enterprise annual - 20 developer seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (hubspot).,TXN-6032,HubSpot Sales Hub Enterprise annual - 50 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-6033,Dell XPS 15 - data scientist laptop 3 units
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (rds).,TXN-6036,RDS Multi-AZ commitment - postgres primary and 2 read replicas
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-6038,Bulk flight bookings Q3 annual offsite - 40 tickets BOM-GOI
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6039,Tableau Creator Cloud annual - analytics team 12 seats
Meals & Catering,0.55,Description references food/catering context (catering).,EXP-06040,Partial refund - catering shortfall Q3 offsite event
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-6041,Credit note - overpayment on AWS Q1 invoice
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-6042,Payment gateway monthly transaction processing fees - April cycle
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6043,Salesforce Service Cloud annual - 80 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6045,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6046,Trademark registration - 5 classes brand protection
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6047,Salesforce Service Cloud annual - 80 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,CLM-06049,Content marketing agency quarterly retainer - Q2
Travel & Transport,0.55,Description references travel or transport (train).,TXN-6051,NVIDIA RTX 4090 - ML training workstation single build
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6052,Power BI Premium annual - analytics platform BI team
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-6053,Workday HCM annual subscription - 800 employee org
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6055,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6056,Databricks DBU consumption - ML feature engineering pipelines
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-6057,Airport cab drop - personal vacation travel to Goa non-business
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6058,PagerDuty Business annual - on-call management 30 users
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6059,Cloud compute Q3 reserved capacity - multi-region failover setup
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6062,Cloud compute Q2 infra scaling - production cluster autoscaling
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-6063,All-hands team dinner Q1 wrap-up event 80 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-6064,Azure Cognitive Services - NLP API calls production tier
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6065,Twitter/X Ads - product launch announcement campaign
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,CLM-06066,New Relic Full Platform annual - 100GB data ingest
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6067,Lenovo ThinkPad X1 Carbon - PM team 4 units
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,REF-06068,GCP Vertex AI training job - custom model Q2 batch
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6069,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6071,Town hall snacks and beverages - 200 employees all-hands
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-6072,All-hands team dinner Q1 wrap-up event 80 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6073,Marriott Mumbai - 3 nights executive suite investor roadshow
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-6074,Cloudflare Enterprise DDoS annual - production CDN
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6075,Datadog Log Management annual - 50GB per day retention
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6076,Calendly Teams annual - scheduling 30 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6077,Content marketing agency quarterly retainer - Q2
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-6079,Spouse flight ticket - accompanied personal travel
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-6080,Zoom Workplace Pro annual renewal - 500 seats
Meals & Catering,0.84,"Description references food/catering context (lunch, catering).",TXN-6082,Board meeting catering - 10 directors working lunch
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-6083,Flight BOM-LHR for London board meeting - 1 pax business class
Meals & Catering,0.55,Description references food/catering context (tea).,PROC-06085,1Password Teams annual - 80 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-6086,Refund - subscription downgrade credit Slack Business to Pro
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6087,ClickUp Business annual - task management 100 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6088,Loom Business annual - async video 60 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6090,DocuSign Business Pro annual - 500 envelope pack
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6092,New Relic Full Platform annual - 100GB data ingest
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6093,Cloud compute Q3 reserved capacity - multi-region failover setup
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6094,Marriott Mumbai - 3 nights executive suite investor roadshow
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",REF-06095,Zoom Workplace Pro annual renewal - 500 seats
Travel & Transport,0.84,"Description references travel or transport (flight, indigo).",TXN-6097,Vendor credit - flight cancellation refund IndiGo BLR-DEL
Travel & Transport,0.55,Description references travel or transport (train).,TXN-6098,PMP certification external training - batch 8 PMs
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6099,Personal Swiggy order - home delivery non-business expense
Travel & Transport,0.55,Description references travel or transport (train).,TXN-6101,NVIDIA RTX 4090 - ML training workstation single build
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6102,Content marketing agency quarterly retainer - Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6104,PR agency retainer - media relations Q1
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6105,Amazon DSP advertising - festive season October
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-6106,HRMS annual subscription - employee self-service 800 users
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6107,Conrad Bengaluru - 3 nights executive team stay
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6109,Databricks DBU consumption - ML feature engineering pipelines
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-6110,HubSpot Marketing Hub Professional annual subscription
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6114,Legal retainer - shareholder agreement and term sheet review
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-6115,Catering for Q1 product roadmap planning workshop - 120 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6116,Salesforce Service Cloud annual - 80 agent seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,PMT-06117,Adobe Sign enterprise annual - 500 transaction pack
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-6118,Personal Netflix subscription - accidentally on corporate card
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-6119,Payment gateway monthly transaction processing fees - June cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6120,ERP module annual maintenance - finance and procurement
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6121,
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-6122,Annual Slack Business+ renewal - 200 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6123,Marriott Mumbai - 3 nights executive suite investor roadshow
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-6124,Dell XPS 15 - data scientist laptop 3 units
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6125,Tableau Creator Cloud annual - analytics team 12 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (monitor).,TXN-6126,Datadog APM annual commitment - 20 hosts infra monitoring
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-6127,Corporate cab account monthly - engineering late-night cabs April
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-6128,Personal Amazon Prime annual renewal - home account
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-6130,FEMA compliance advisory - cross-border forex transactions
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-6131,Zoom Workplace Pro annual renewal - 500 seats
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-6134,All-hands team dinner Q1 wrap-up event 80 pax
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-6135,Flight DEL-NRT for Tokyo strategic partnership meeting - 2 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6136,ESOP valuation report - grant price board approval
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-6137,Airport cab drop - personal vacation travel to Goa non-business
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",REF-06138,Airport cab drop - personal vacation travel to Goa non-business
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-6139,Standing desk Flexispot E7 - 5 units health initiative
